Time,Open,High,Low,Close,Volume
01.02.2012 12:49:00.000,1.31931,1.31956,1.31920,1.31949,243.63
01.02.2012 12:50:00.000,1.31950,1.32018,1.31950,1.31986,357.28
01.02.2012 12:51:00.000,1.31984,1.31992,1.31970,1.31970,307.35
01.02.2012 12:52:00.000,1.31971,1.31971,1.31943,1.31943,371.02
01.02.2012 12:53:00.000,1.31944,1.31950,1.31907,1.31912,212.00
01.02.2012 12:54:00.000,1.31911,1.31930,1.31897,1.31897,208.37
01.02.2012 12:55:00.000,1.31899,1.31916,1.31867,1.31867,292.34
01.02.2012 12:56:00.000,1.31866,1.31867,1.31837,1.31843,270.10
01.02.2012 12:57:00.000,1.31843,1.31844,1.31808,1.31829,283.98
01.02.2012 12:58:00.000,1.31829,1.31835,1.31806,1.31818,305.45
01.02.2012 12:59:00.000,1.31816,1.31824,1.31791,1.31823,258.71
01.02.2012 13:00:00.000,1.31823,1.31855,1.31808,1.31826,294.74
01.02.2012 13:01:00.000,1.31828,1.31838,1.31818,1.31833,260.19
01.02.2012 13:02:00.000,1.31833,1.31858,1.31820,1.31840,299.08
01.02.2012 13:03:00.000,1.31840,1.31840,1.31801,1.31803,264.35
01.02.2012 13:04:00.000,1.31804,1.31811,1.31774,1.31787,250.42
01.02.2012 13:05:00.000,1.31785,1.31789,1.31772,1.31784,229.14
01.02.2012 13:06:00.000,1.31784,1.31812,1.31769,1.31812,307.41
01.02.2012 13:07:00.000,1.31812,1.31813,1.31772,1.31780,270.28
01.02.2012 13:08:00.000,1.31780,1.31789,1.31721,1.31727,307.25
01.02.2012 13:09:00.000,1.31725,1.31753,1.31700,1.31725,392.04
01.02.2012 13:10:00.000,1.31725,1.31738,1.31693,1.31738,286.56
01.02.2012 13:11:00.000,1.31740,1.31753,1.31729,1.31750,275.05
01.02.2012 13:12:00.000,1.31750,1.31750,1.31722,1.31740,312.25
01.02.2012 13:13:00.000,1.31737,1.31742,1.31714,1.31725,282.58
01.02.2012 13:14:00.000,1.31725,1.31747,1.31707,1.31747,352.36
01.02.2012 13:15:00.000,1.31747,1.31762,1.31705,1.31705,403.06
01.02.2012 13:16:00.000,1.31707,1.31752,1.31703,1.31721,293.38
01.02.2012 13:17:00.000,1.31721,1.31725,1.31696,1.31711,231.81
01.02.2012 13:18:00.000,1.31711,1.31743,1.31708,1.31728,264.61
01.02.2012 13:19:00.000,1.31727,1.31742,1.31719,1.31719,227.89
01.02.2012 13:20:00.000,1.31721,1.31721,1.31689,1.31701,330.24
01.02.2012 13:21:00.000,1.31700,1.31703,1.31680,1.31690,256.01
01.02.2012 13:22:00.000,1.31689,1.31694,1.31670,1.31687,262.22
01.02.2012 13:23:00.000,1.31692,1.31743,1.31685,1.31739,306.14
01.02.2012 13:24:00.000,1.31739,1.31746,1.31735,1.31738,233.84
01.02.2012 13:25:00.000,1.31736,1.31744,1.31727,1.31729,245.81
01.02.2012 13:26:00.000,1.31727,1.31737,1.31688,1.31697,201.49
01.02.2012 13:27:00.000,1.31697,1.31782,1.31696,1.31782,339.21
01.02.2012 13:28:00.000,1.31782,1.31827,1.31782,1.31825,298.17
01.02.2012 13:29:00.000,1.31826,1.31829,1.31802,1.31816,289.94
01.02.2012 13:30:00.000,1.31815,1.31864,1.31812,1.31835,353.94
01.02.2012 13:31:00.000,1.31837,1.31842,1.31798,1.31811,392.57
01.02.2012 13:32:00.000,1.31809,1.31809,1.31755,1.31758,277.75
01.02.2012 13:33:00.000,1.31759,1.31790,1.31759,1.31790,213.03
01.02.2012 13:34:00.000,1.31788,1.31795,1.31752,1.31753,232.64
01.02.2012 13:35:00.000,1.31753,1.31753,1.31713,1.31716,234.27
01.02.2012 13:36:00.000,1.31714,1.31715,1.31696,1.31698,291.71
01.02.2012 13:37:00.000,1.31700,1.31738,1.31698,1.31711,336.47
01.02.2012 13:38:00.000,1.31710,1.31717,1.31698,1.31701,344.54
01.02.2012 13:39:00.000,1.31701,1.31709,1.31686,1.31694,295.13
01.02.2012 13:40:00.000,1.31690,1.31705,1.31690,1.31705,194.58
